字段1,字段3
4.01E-11,1.00E-11
6.89E-07,1.67E-07
1.67E-07,1.03E-08
2.08E-33,1.72E-07
1.05E-08,2.58E-09
4.03E-11,8.48E-33
2.67E-09,0.000171845
1.08E-08,4.03E-11
4.26E-31,6.40E-10
1.08E-08,6.71E-07
6.34E-10,2.12E-33
6.41E-10,1.03E-08
4.17E-11,6.34E-10
8.18E-06,2.74E-06
1.04E-08,4.03E-11
2.12E-33,2.00E-09
1.06E-05,6.41E-10
4.06E-08,2.13E-33
4.22E-08,1.71E-07
6.41E-10,6.34E-10
2.00E-09,4.27E-05
2.67E-06,2.62E-09
1.00E-11,3.27E-05
2.72E-06,2.76E-06
1.07E-08,6.34E-10
6.48E-10,6.68E-07
1.08E-05,2.65E-09
8.48E-33,4.99E-10
6.41E-10,1.07E-08
2.64E-09,4.03E-11
4.99E-10,4.24E-05
4.39E-05,1.69E-07
4.03E-11,8.48E-33
1.09E-05,6.59E-10
1.03E-08,2.59E-09
8.48E-33,4.99E-10
1.64E-07,2.71E-06
2.56E-09,4.03E-11
4.99E-10,1.69E-07
1.08E-08,6.70E-10
4.03E-11,8.48E-33
2.66E-09,6.64E-07
2.59E-09,2.61E-09
8.48E-33,4.99E-10
1.07E-08,6.59E-10
2.67E-09,4.05E-11
4.99E-10,0.000171696
6.48E-10,2.56E-09
4.05E-11,8.48E-33
4.19E-08,0.000170913
0.000174732,2.61E-09
8.48E-33,4.99E-10
6.82E-07,2.64E-09
4.03E-11,6.34E-10
6.40E-10,1.05E-08
4.24E-08,4.05E-11
2.12E-33,1.31E-07
1.72E-07,6.59E-10
6.34E-10,2.12E-33
2.59E-09,6.41E-10
4.01E-11,2.54E-09
5.11E-07,1.04E-08
6.41E-10,4.03E-11
2.13E-33,2.04E-06
6.74E-10,6.86E-07
2.53E-09,2.14E-33
1.69E-07,6.56E-10
2.67E-09,4.01E-11
5.11E-07,4.22E-05
4.39E-05,0.000173767
6.34E-10,2.08E-33
6.56E-10,1.03E-08
2.67E-09,4.07E-11
4.99E-10,6.68E-07
1.07E-08,4.10E-08
6.34E-10,4.26E-31
1.72E-07,6.60E-07
4.07E-11,6.34E-10
8.41E-06,6.41E-10
6.63E-10,4.10E-11
2.12E-33,5.11E-07
6.41E-10,2.65E-09
6.34E-10,2.12E-33
1.06E-08,2.62E-09
4.01E-11,4.06E-08
7.99E-09,2.62E-09
6.86E-07,6.41E-10
4.06E-08,2.12E-33
6.51E-10,1.09E-05
6.41E-10,4.10E-11
2.13E-33,5.11E-07
1.05E-05,1.04E-08
4.19E-11,4.06E-08
2.04E-06,6.89E-07
4.13E-08,6.41E-10
1.01E-08,2.13E-33
6.89E-07,0.000174731
6.41E-10,4.21E-11
