字段6,字段7,﻿字段1,字段2
1.00E-11,1.00E-11,6.41E-10,6.41E-10
1.67E-07,1.67E-07,4.19E-11,4.19E-11
1.03E-08,1.03E-08,3.19E-08,3.19E-08
1.72E-07,1.72E-07,1.06E-05,1.06E-05
2.58E-09,2.58E-09,2.12E-33,2.12E-33
8.48E-33,8.48E-33,2.64E-06,2.64E-06
0.000171845,0.000171845,4.06E-08,4.06E-08
4.03E-11,4.03E-11,6.63E-07,6.63E-07
6.40E-10,6.40E-10,6.41E-10,6.41E-10
6.71E-07,6.71E-07,3.19E-08,3.19E-08
2.12E-33,2.12E-33,6.64E-07,6.64E-07
1.03E-08,1.03E-08,1.01E-11,1.01E-11
6.34E-10,6.34E-10,4.30E-05,4.30E-05
2.74E-06,2.74E-06,1.04E-08,1.04E-08
4.03E-11,4.03E-11,4.34E-05,4.34E-05
2.00E-09,2.00E-09,2.62E-09,2.62E-09
6.41E-10,6.41E-10,8.48E-33,8.48E-33
2.13E-33,2.13E-33,0.000175685,0.000175685
1.71E-07,1.71E-07,4.03E-11,4.03E-11
6.34E-10,6.34E-10,6.40E-10,6.40E-10
4.27E-05,4.27E-05,4.37E-05,4.37E-05
2.62E-09,2.62E-09,2.12E-33,2.12E-33
3.27E-05,3.27E-05,1.07E-08,1.07E-08
2.76E-06,2.76E-06,6.34E-10,6.34E-10
6.34E-10,6.34E-10,2.56E-09,2.56E-09
6.68E-07,6.68E-07,4.03E-11,4.03E-11
2.65E-09,2.65E-09,8.18E-06,8.18E-06
4.99E-10,4.99E-10,6.41E-10,6.41E-10
1.07E-08,1.07E-08,6.34E-10,6.34E-10
4.03E-11,4.03E-11,1.10E-05,1.10E-05
4.24E-05,4.24E-05,6.75E-07,6.75E-07
1.69E-07,1.69E-07,2.12E-33,2.12E-33
8.48E-33,8.48E-33,6.68E-07,6.68E-07
6.59E-10,6.59E-10,4.01E-11,4.01E-11
2.59E-09,2.59E-09,5.11E-07,5.11E-07
4.99E-10,4.99E-10,6.41E-10,6.41E-10
2.71E-06,2.71E-06,6.34E-10,6.34E-10
4.03E-11,4.03E-11,0.000168835,0.000168835
1.69E-07,1.69E-07,2.72E-06,2.72E-06
6.70E-10,6.70E-10,2.12E-33,2.12E-33
8.48E-33,8.48E-33,6.48E-10,6.48E-10
6.64E-07,6.64E-07,4.01E-11,4.01E-11
2.61E-09,2.61E-09,4.99E-10,4.99E-10
4.99E-10,4.99E-10,6.41E-10,6.41E-10
6.59E-10,6.59E-10,2.54E-09,2.54E-09
4.05E-11,4.05E-11,4.22E-05,4.22E-05
0.000171696,0.000171696,2.74E-06,2.74E-06
2.56E-09,2.56E-09,2.12E-33,2.12E-33
8.48E-33,8.48E-33,0.000176631,0.000176631
0.000170913,0.000170913,4.01E-11,4.01E-11
2.61E-09,2.61E-09,7.99E-09,7.99E-09
4.99E-10,4.99E-10,6.41E-10,6.41E-10
2.64E-09,2.64E-09,2.12E-33,2.12E-33
6.34E-10,6.34E-10,6.45E-10,6.45E-10
1.05E-08,1.05E-08,6.34E-10,6.34E-10
4.05E-11,4.05E-11,1.07E-08,1.07E-08
1.31E-07,1.31E-07,1.07E-08,1.07E-08
6.59E-10,6.59E-10,0.000130844,0.000130844
2.12E-33,2.12E-33,4.20E-08,4.20E-08
6.41E-10,6.41E-10,6.34E-10,6.34E-10
2.54E-09,2.54E-09,4.20E-08,4.20E-08
